processes,workers,x,total_samples,seed,estimate,exact,abs_error,total_elapsed_sec,max_worker_compute_sec,overhead_estimate_sec
1,0,1.5707963267948966,10000,12345,1.0039942522026661,0.99999999999999989,0.0039942522026662486,0.000153904,0.000153733,0.000000171
2,1,1.5707963267948966,10000,12345,1.0063241996363244,0.99999999999999989,0.0063241996363244679,0.000172740,0.000157140,0.000015600
4,3,1.5707963267948966,10000,12345,1.0039141495890569,0.99999999999999989,0.0039141495890570033,0.000083780,0.000065866,0.000017914
8,7,1.5707963267948966,10000,12345,0.99681717885319576,0.99999999999999989,0.0031828211468041268,0.000231711,0.000035988,0.000195723
1,0,1.5707963267948966,100000,12345,1.0007879287912176,0.99999999999999989,0.00078792879121769577,0.001380502,0.001380312,0.000000190
2,1,1.5707963267948966,100000,12345,1.0017350863871743,0.99999999999999989,0.001735086387174456,0.001391974,0.001375482,0.000016492
4,3,1.5707963267948966,100000,12345,1.0016143520813761,0.99999999999999989,0.0016143520813761691,0.000499242,0.000475417,0.000023825
8,7,1.5707963267948966,100000,12345,0.99984166624043735,0.99999999999999989,0.00015833375956253448,0.000595866,0.000377931,0.000217935
1,0,1.5707963267948966,1000000,12345,0.99995587250109608,0.99999999999999989,4.4127498903812068e-05,0.031271044,0.031270612,0.000000432
2,1,1.5707963267948966,1000000,12345,0.99923452977574156,0.99999999999999989,0.00076547022425832445,0.038735054,0.038684538,0.000050516
4,3,1.5707963267948966,1000000,12345,0.99964348170230144,0.99999999999999989,0.00035651829769844934,0.015169753,0.015109125,0.000060628
8,7,1.5707963267948966,1000000,12345,0.99983082137138712,0.99999999999999989,0.000169178628612765,0.006071757,0.006031750,0.000040007
1,0,1.5707963267948966,10000000,12345,1.0000489095688514,0.99999999999999989,4.8909568851507323e-05,0.445726784,0.445726243,0.000000541
2,1,1.5707963267948966,10000000,12345,0.99997811895896616,0.99999999999999989,2.1881041033733339e-05,0.369398461,0.369309479,0.000088982
4,3,1.5707963267948966,10000000,12345,1.0000306597603807,0.99999999999999989,3.0659760380857826e-05,0.119761204,0.119709830,0.000051374
8,7,1.5707963267948966,10000000,12345,0.99992725106728908,0.99999999999999989,7.2748932710808845e-05,0.049554583,0.049503556,0.000051027
